G4,G7,G14,G19,S1,S2,S3,S4,S8
4,8,-1.40133,5,18.1016,2552.44,10946.5,12491.2,0.3039
4,7,-0.0716859,5,11.3601,1830.52,2630.27,3667.23,0.10727
4,8,-1.33625,5,16.4501,2422.1,9648.19,11199.2,0.293389
1,3,-0.646664,3,9.09611,1167.93,1362.16,2082.54,0.0921832
1,3,-0.978521,3,9.95861,1260.18,1564.96,2380.3,0.103697
1,3,-3.22611,3,10.5782,1227.94,2247.72,3000.94,0.152606
1,3,-2.07986,3,10.1369,1441.86,2156.56,2964.69,0.112212
1,3,-2.03877,3,11.0633,1460.09,2751.29,3639.71,0.157029
1,4,-0.393351,3,10.027,1291.24,1849.38,2668.27,0.117895
1,3,-2.10742,3,12.4694,1343.18,2874.35,3717.99,0.182004
1,3,-1.58529,3,10.8149,1253.31,1788.81,2557.59,0.113992
1,3,-1.88932,3,10.3098,1394.47,1608.4,2750.8,0.131855
1,3,-0.907215,3,10.3033,1371.39,1648.87,2542.82,0.101595
1,3,-1.52856,3,9.1903,1593.3,1898.46,2580.76,0.0598968
1,3,-2.26641,3,12.8071,1465.89,4130.18,5029.47,0.231517
1,3,-1.65351,3,11.5492,1576.98,2159.68,3138.97,0.109925
1,3,-1.50173,3,11.0253,1616.16,1958.61,3047.96,0.106557
1,3,-1.46251,3,9.74261,1532.53,1812.52,2586.16,0.0725134
1,4,-2.0716,3,13.9382,1217.14,3949.21,4632.2,0.254228
1,4,-2.48573,3,15.1826,1236.64,5096.82,5795.98,0.296049
1,4,-2.89985,3,16.4285,1246.63,6467.31,7161.68,0.331285
1,4,-3.7281,3,18.9209,1268.85,9922.42,10620,0.382466
1,4,-1.68289,4,9.83757,1437.29,2103.46,2523.18,0.069967
1,4,-3.52767,4,14.5662,2070.39,4903.92,5528.7,0.172993
1,4,-3.98272,4,13.6806,1949.5,4563.09,5230.48,0.173538
1,4,-2.03833,3,11.6962,1192.56,3058.27,3659.09,0.205378
1,4,-3.08929,4,13.9944,1869.66,4552.93,5305.42,0.186842
1,4,-4.51857,3,17.8746,1516.3,11529.7,11978.3,0.376594
2,4,-1.20954,3,9.15364,1317.15,1373.28,2221.71,0.0900567
1,4,-2.18015,3,13.5844,1516.77,3267.61,3934.36,0.164365
1,4,-2.13099,4,10.9227,1636.89,2507.61,3277.43,0.102546
1,4,-2.39392,3,11.6577,1757.68,2734.59,3341.49,0.0881407
1,4,-2.92957,2,11.7404,1927.88,2966.13,3668.21,0.0885559
2,4,-5.64249,0,12.9137,1560.57,4718.42,6138.61,0.26408
3,5,-5.58064,0,12.9196,1655.66,5113.61,6626.25,0.267539
0,4,-4.19539,0,16.1894,869.751,7381.15,8244.49,0.395791
0,3,-5.20938,0,16.3664,1472.36,9473.03,10900.3,0.367626
0,2,-4.38056,0,16.0341,845.412,8078.59,8917.61,0.406122
0,5,-6.51641,0,17.4656,2235.73,13480.7,15154.7,0.355615
0,2,-5.84373,0,16.3629,1172.19,10765.6,11498.1,0.399222
3,6,-4.88897,1,15.2174,2107.57,6304.61,7995.53,0.25501
3,4,-6.45548,0,16.056,2671.5,7015.95,9285.72,0.237662
2,5,-3.43238,0,10.8784,1427.46,2345.54,3106.55,0.123367
4,6,-3.46108,1,12.2069,2072.14,4123.44,5669.57,0.182819
3,5,-4.35971,1,11.9756,2713.4,3874.24,6138.63,0.151588
4,6,-3.52072,1,11.9756,2847.81,3521.9,5898.14,0.139285
4,6,-4.05954,1,12.0478,2160.2,4170.05,5447.96,0.159288
4,7,-3.5199,2,12.0456,2771.06,4064.96,6049.4,0.134541
4,6,-2.88217,0,12.3806,2844.99,4345.08,6563.78,0.149895
5,7,-3.1079,1,11.9812,2982.13,3810.24,6276.96,0.140312
2,4,-3.94429,0,11.459,2439.96,3544.82,5291.36,0.1333
4,6,-4.34757,1,11.9862,2966.89,3142.12,5535.33,0.125266
4,6,-4.51678,0,11.9862,3254.51,3575.38,5855.78,0.104654
4,6,-4.36405,0,11.9862,2766.83,3639,5679.09,0.126095
3,5,-4.12184,0,11.9862,2732.88,3635.74,5671.2,0.128591
4,5,-5.22919,1,18.469,2014.47,11170.5,11960.4,0.33723
2,4,-5.14142,0,15.9311,1114.87,6633.85,7473.16,0.354066
3,6,-4.99653,0,18.6139,2058.63,11767.9,12538.8,0.341229
3,6,-3.15881,0,12.0471,945.133,3196.53,4013.15,0.278295
1,4,-3.21707,1,9.68442,920.082,2250.59,2692.54,0.19402
8,15,-2.70627,11,20.6477,5203.02,17811.4,21224.4,0.268815
1,6,-1.08992,3,10.2871,1839.93,2303.41,3120.02,0.0683916
2,3,-2.0833,2,10.0599,451.907,1629.81,1871.78,0.272
1,2,-2.24504,2,11.1887,436.906,2342.11,2549.53,0.334087
6,9,-1.61011,0,11.7227,1963.87,3816.19,5011.63,0.162496
8,12,-2.46297,0,15.363,2900.05,9698.06,11359.9,0.260343
11,17,-3.47451,0,18.5365,6733.74,21161.3,25810.7,0.256052
1,5,-4.6319,3,12.4279,2129.17,4606.75,5270.85,0.153627
1,5,-6.01105,3,16.2058,2952.6,8922.63,9750.84,0.225024
4,6,-3.27326,1,14.0539,2936.13,4868.22,7002.02,0.152538
3,5,-4.80378,2,11.9326,2212.42,3511.91,4917.96,0.13263
2,4,-3.93846,1,11.186,1944.49,2583.07,4178.22,0.142272
2,5,-3.35889,1,11.186,2205.76,3073.58,4801.41,0.14018
3,5,-3.09485,1,14.0559,2569.18,4855.31,6626.89,0.167565
4,6,-3.22256,1,12.2252,2358.1,4322.6,6142.25,0.173384
4,7,-2.32061,1,11.9388,2375.86,4347.34,6194.58,0.173893
4,6,-3.28905,2,12.355,2398.94,4230.46,5729.74,0.147805
1,3,-2.28485,1,10.425,1085.99,2153.58,2664.63,0.150687
3,5,-1.20562,0,10.4347,647.875,2198.25,2351.82,0.247177
1,5,-0.221165,3,10.2527,982.614,1742.44,2132.76,0.120026
1,4,-0.56663,3,9.17712,924.459,1460.49,1885.62,0.106361
1,4,-1.87336,4,11.2904,2057.17,2518.87,3832.12,0.10071
1,4,-2.19043,4,13.4153,2030.4,3291.17,4632.56,0.139504
0,1,-4.61845,0,12.7305,552.141,5358.97,5875.75,0.406886
0,1,-4.49621,0,12.5857,522.014,3945.57,4432.34,0.383934
0,1,-3.79805,0,11.9744,467.607,2620.97,3053.63,0.350692
0,2,-3.86877,0,14.2656,496.984,3933.66,4392.41,0.388353
0,2,-4.90479,0,17.9837,545.919,7148.95,7646.9,0.428974
1,3,-0.882195,2,9.91237,474.684,1619.29,1956.36,0.271103
1,3,-0.614577,2,10.6904,924.375,2307.8,2836.5,0.205594
